customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
65,17.0,2.0,1408.854,5,1,1,1.7999999999999998,Churned
66,243.0,4.0,26320.0785,2,3,5,3.6,Loyal
67,637.0,2.0,2397.36,1,1,2,1.4000000000000001,Churned
68,969.0,1.0,1559.33,1,1,1,1.0,Churned
69,75.0,4.0,3378.3225,4,3,3,3.2,Potential
70,31.0,5.0,3726.286,5,4,3,3.8000000000000003,Loyal
71,419.0,4.0,3764.3905,1,3,3,2.6000000000000005,Potential
72,1095.0,0.0,0.0,1,1,1,1.0,Churned
73,45.0,6.0,15013.6465,5,5,5,5.0,Champions
74,883.0,1.0,3312.81,1,1,3,1.8000000000000003,At Risk
75,704.0,1.0,840.94,1,1,1,1.0,Churned
76,351.0,1.0,335.52000000000004,2,1,1,1.2000000000000002,Churned
77,55.0,1.0,438.44,4,1,1,1.6,Churned
78,100.0,3.0,4361.4775,4,2,4,3.2,Potential
79,60.0,4.0,3974.0685,4,3,3,3.2,Potential
80,275.0,5.0,5837.7789999999995,2,4,4,3.6,Loyal
81,235.0,4.0,2303.6335,2,3,2,2.4000000000000004,At Risk
82,34.0,7.0,8575.637999999999,5,5,5,5.0,Champions
83,306.0,4.0,5326.5955,2,3,4,3.2,Potential
84,9.0,5.0,8866.8565,5,4,5,4.6,Champions
85,183.0,2.0,5099.7215,3,1,4,2.6,Potential
86,127.0,4.0,3792.2565,3,3,3,3.0000000000000004,Potential
87,1095.0,0.0,0.0,1,1,1,1.0,Churned
88,331.0,5.0,37292.552,2,4,5,4.0,Loyal
89,52.0,7.0,4597.3765,4,5,4,4.4,Champions
90,12.0,4.0,3350.5415000000003,5,3,3,3.4000000000000004,Loyal
91,82.0,3.0,5154.5115,4,2,4,3.2,Potential
92,142.0,1.0,835.5799999999999,3,1,1,1.4,Churned
93,120.0,6.0,6312.522,3,5,4,4.2,Champions
94,86.0,7.0,10879.5865,4,5,5,4.8,Champions
95,4.0,7.0,6594.25,5,5,5,5.0,Champions
96,73.0,6.0,6392.983,4,5,4,4.4,Champions
97,728.0,4.0,5791.179,1,3,4,3.0,Potential
98,376.0,1.0,1117.21,2,1,1,1.2000000000000002,Churned
99,486.0,2.0,809.198,1,1,1,1.0,Churned
100,260.0,4.0,5361.876,2,3,4,3.2,Potential
101,56.0,10.0,13128.468,4,5,5,4.8,Champions
102,112.0,3.0,2304.7439999999997,3,2,2,2.2,At Risk
103,32.0,1.0,216.829,5,1,1,1.7999999999999998,Churned
104,19.0,4.0,5942.749,5,3,4,3.8000000000000003,Loyal
105,224.0,4.0,3462.121,2,3,3,2.8000000000000003,Potential
106,880.0,1.0,531.922,1,1,1,1.0,Churned
107,965.0,1.0,1379.8815,1,1,1,1.0,Churned
108,185.0,4.0,1820.9885,3,3,2,2.6000000000000005,Potential
109,125.0,2.0,2538.0265,3,1,2,1.8,At Risk
110,323.0,3.0,3968.121,2,2,3,2.4000000000000004,At Risk
111,130.0,2.0,5329.6585,3,1,4,2.6,Potential
112,519.0,3.0,5012.860500000001,1,2,4,2.6,Potential
113,224.0,3.0,1748.567,2,2,2,2.0,At Risk
114,1.0,4.0,2815.836,5,3,2,3.0,Potential
115,223.0,2.0,3695.8869999999997,2,1,3,2.0,At Risk
116,609.0,2.0,2163.59,1,1,2,1.4000000000000001,Churned
117,30.0,3.0,1644.607,5,2,1,2.2,At Risk
118,212.0,7.0,10284.3385,3,5,5,4.6,Champions
119,161.0,3.0,1912.3475,3,2,2,2.2,At Risk
120,533.0,2.0,2329.725,1,1,2,1.4000000000000001,Churned
121,39.0,7.0,7338.492,5,5,5,5.0,Champions
122,231.0,5.0,7851.384,2,4,5,4.0,Loyal
123,107.0,8.0,44292.2215,4,5,5,4.8,Champions
124,219.0,5.0,3920.3575,2,4,3,3.2,Potential
125,164.0,4.0,3426.527,3,3,3,3.0000000000000004,Potential
126,483.0,7.0,12062.878,1,5,5,4.2,Champions
127,125.0,3.0,1809.5839999999998,3,2,2,2.2,At Risk
128,0.0,2.0,2905.071,5,1,2,2.2,At Risk
129,57.0,4.0,1654.603,4,3,2,2.8,Potential
130,46.0,5.0,6036.878500000001,5,4,4,4.2,Champions
131,41.0,6.0,12028.253499999999,5,5,5,5.0,Champions
132,31.0,9.0,15945.510999999999,5,5,5,5.0,Champions
133,447.0,5.0,5027.4349999999995,1,4,4,3.4000000000000004,Loyal
134,1039.0,1.0,1716.28,1,1,2,1.4000000000000001,Churned
135,149.0,4.0,3355.215,3,3,3,3.0000000000000004,Potential
136,273.0,4.0,4611.1825,2,3,4,3.2,Potential
137,172.0,3.0,5579.486,3,2,4,3.0,Potential
138,451.0,1.0,932.57,1,1,1,1.0,Churned
139,308.0,3.0,4447.6195,2,2,4,2.8000000000000003,Potential
140,338.0,3.0,38504.804000000004,2,2,5,3.2,Potential
141,498.0,3.0,6753.825,1,2,5,3.0,Potential
142,37.0,6.0,6784.5585,5,5,5,5.0,Champions
143,775.0,2.0,1319.5695,1,1,1,1.0,Churned
144,119.0,2.0,1182.2875,3,1,1,1.4,Churned
145,48.0,7.0,9591.5175,4,5,5,4.8,Champions
146,548.0,3.0,4430.303,1,2,4,2.6,Potential
147,79.0,2.0,1770.6934999999999,4,1,2,2.0,At Risk
148,47.0,3.0,1031.1080000000002,4,2,1,2.0,At Risk
149,125.0,5.0,3972.242,3,4,3,3.4000000000000004,Loyal
150,395.0,3.0,3526.3305,2,2,3,2.4000000000000004,At Risk
151,136.0,2.0,2126.564,3,1,2,1.8,At Risk
152,36.0,7.0,4653.5355,5,5,4,4.6,Champions
153,485.0,4.0,3971.3765,1,3,3,2.6000000000000005,Potential
154,18.0,6.0,3847.151,5,5,3,4.2,Champions
155,749.0,2.0,2877.321,1,1,2,1.4000000000000001,Churned
156,2.0,6.0,5939.4665,5,5,4,4.6,Champions
157,229.0,2.0,1829.83,2,1,2,1.6,Churned
158,363.0,2.0,605.6220000000001,2,1,1,1.2000000000000002,Churned
159,258.0,2.0,877.253,2,1,1,1.2000000000000002,Churned
160,64.0,6.0,3308.0860000000002,4,5,3,4.0,Loyal
161,107.0,2.0,1810.519,4,1,2,2.0,At Risk
162,14.0,6.0,8396.44,5,5,5,5.0,Champions
163,212.0,5.0,15108.165,3,4,5,4.2,Champions
164,112.0,4.0,8465.225,3,3,5,3.8000000000000003,Loyal
165,183.0,4.0,3541.893,3,3,3,3.0000000000000004,Potential
166,185.0,2.0,2188.8065,3,1,2,1.8,At Risk
167,32.0,4.0,15975.174500000001,5,3,5,4.2,Champions
168,181.0,3.0,10026.0465,3,2,5,3.4000000000000004,Loyal
169,345.0,3.0,2840.306,2,2,2,2.0,At Risk
170,243.0,1.0,697.79,2,1,1,1.2000000000000002,Churned
171,201.0,3.0,1333.964,3,2,1,1.8000000000000003,At Risk
172,84.0,3.0,3254.313,4,2,3,2.8000000000000003,Potential
173,385.0,3.0,5095.974,2,2,4,2.8000000000000003,Potential
174,470.0,1.0,1364.35,1,1,1,1.0,Churned
175,277.0,5.0,7443.32,2,4,5,4.0,Loyal
176,188.0,4.0,4921.089,3,3,4,3.4000000000000004,Loyal
177,474.0,1.0,3285.3700000000003,1,1,3,1.8000000000000003,At Risk
178,23.0,6.0,5822.5025,5,5,4,4.6,Champions
179,28.0,9.0,8864.801,5,5,5,5.0,Champions
180,522.0,1.0,967.038,1,1,1,1.0,Churned
181,464.0,2.0,1101.4155,1,1,1,1.0,Churned
182,59.0,4.0,2135.518,4,3,2,2.8,Potential
183,978.0,1.0,919.593,1,1,1,1.0,Churned
184,239.0,2.0,3138.21,2,1,3,2.0,At Risk
185,54.0,5.0,4753.338,4,4,4,4.0,Loyal
186,26.0,4.0,2419.4445,5,3,2,3.0,Potential
187,425.0,3.0,4997.435,1,2,4,2.6,Potential
188,583.0,2.0,1121.868,1,1,1,1.0,Churned
189,218.0,4.0,4124.202499999999,2,3,3,2.8000000000000003,Potential
190,77.0,5.0,4262.951,4,4,3,3.6000000000000005,Loyal
191,20.0,2.0,3970.0265,5,1,3,2.6,Potential
192,41.0,5.0,5520.255999999999,5,4,4,4.2,Champions
193,104.0,4.0,3393.3505,4,3,3,3.2,Potential
194,620.0,3.0,2025.7309999999998,1,2,2,1.8,At Risk
195,85.0,6.0,3387.312,4,5,3,4.0,Loyal
196,484.0,2.0,1558.68,1,1,1,1.0,Churned
197,445.0,4.0,4743.802,1,3,4,3.0,Potential
198,456.0,2.0,1940.019,1,1,2,1.4000000000000001,Churned
199,13.0,2.0,3649.8,5,1,3,2.6,Potential
200,3.0,3.0,4905.418,5,2,4,3.4000000000000004,Loyal
201,37.0,2.0,1023.592,5,1,1,1.7999999999999998,Churned
202,12.0,5.0,6184.8495,5,4,4,4.2,Champions
203,19.0,4.0,6281.483,5,3,4,3.8000000000000003,Loyal
204,0.0,3.0,11184.235999999999,5,2,5,3.8,Loyal
205,44.0,4.0,4817.6835,5,3,4,3.8000000000000003,Loyal
206,149.0,2.0,1408.26,3,1,1,1.4,Churned
207,221.0,2.0,26716.8865,2,1,5,2.8,Potential
208,30.0,3.0,1579.4895,5,2,1,2.2,At Risk
209,9.0,4.0,6259.1605,5,3,4,3.8000000000000003,Loyal
210,497.0,4.0,3569.1695,1,3,3,2.6000000000000005,Potential
211,257.0,3.0,5739.472,2,2,4,2.8000000000000003,Potential
212,338.0,4.0,11136.477499999999,2,3,5,3.6,Loyal
213,180.0,3.0,452.88,3,2,1,1.8000000000000003,At Risk
214,187.0,2.0,3067.773,3,1,3,2.2,At Risk
215,446.0,4.0,6135.401,1,3,4,3.0,Potential
216,38.0,3.0,3812.134,5,2,3,3.0,Potential
217,296.0,3.0,3473.512,2,2,3,2.4000000000000004,At Risk
218,610.0,1.0,751.6735,1,1,1,1.0,Churned
219,256.0,3.0,2360.916,2,2,2,2.0,At Risk
220,515.0,6.0,9119.5945,1,5,5,4.2,Champions
221,717.0,2.0,1394.9899999999998,1,1,1,1.0,Churned
222,61.0,4.0,2634.1675,4,3,2,2.8,Potential
223,463.0,2.0,660.043,1,1,1,1.0,Churned
224,1095.0,0.0,0.0,1,1,1,1.0,Churned
225,138.0,3.0,3064.8365,3,2,3,2.6000000000000005,Potential
226,127.0,5.0,5901.5275,3,4,4,3.8000000000000003,Loyal
227,106.0,3.0,3395.218,4,2,3,2.8000000000000003,Potential
228,210.0,8.0,7711.925499999999,3,5,5,4.6,Champions
229,54.0,10.0,19921.671,4,5,5,4.8,Champions
230,217.0,5.0,6945.818499999999,2,4,5,4.0,Loyal
231,98.0,4.0,2114.54,4,3,2,2.8,Potential
232,78.0,3.0,3657.9825,4,2,3,2.8000000000000003,Potential
233,6.0,3.0,2638.0005,5,2,2,2.6,Potential
234,690.0,3.0,1306.7359999999999,1,2,1,1.4,Churned
235,316.0,2.0,3350.727,2,1,3,2.0,At Risk
236,370.0,6.0,4889.119,2,5,4,4.0,Loyal
237,6.0,7.0,17440.446,5,5,5,5.0,Champions
238,999.0,1.0,970.345,1,1,1,1.0,Churned
239,577.0,2.0,3762.0805,1,1,3,1.8000000000000003,At Risk
240,28.0,7.0,25107.311999999998,5,5,5,5.0,Champions
241,43.0,5.0,5054.467,5,4,4,4.2,Champions
242,35.0,3.0,3327.1364999999996,5,2,3,3.0,Potential
243,39.0,5.0,8334.2685,5,4,5,4.6,Champions
244,44.0,3.0,4054.799,5,2,3,3.0,Potential
245,8.0,2.0,1155.1725000000001,5,1,1,1.7999999999999998,Churned
246,65.0,4.0,4600.3665,4,3,4,3.6,Loyal
247,727.0,3.0,1397.0030000000002,1,2,1,1.4,Churned
248,173.0,4.0,5318.5419999999995,3,3,4,3.4000000000000004,Loyal
249,567.0,2.0,749.8455,1,1,1,1.0,Churned
250,468.0,6.0,10105.332,1,5,5,4.2,Champions
251,26.0,4.0,4919.436,5,3,4,3.8000000000000003,Loyal
252,651.0,2.0,1337.0195,1,1,1,1.0,Churned
253,36.0,5.0,5553.1900000000005,5,4,4,4.2,Champions
254,194.0,5.0,5863.4245,3,4,4,3.8000000000000003,Loyal
255,33.0,3.0,3769.092,5,2,3,3.0,Potential
256,169.0,3.0,2515.953,3,2,2,2.2,At Risk
257,252.0,4.0,5881.465,2,3,4,3.2,Potential
258,429.0,3.0,2523.58,1,2,2,1.8,At Risk
259,321.0,6.0,3591.511,2,5,3,3.6,Loyal
260,41.0,4.0,5338.671,5,3,4,3.8000000000000003,Loyal
261,278.0,3.0,3022.7745,2,2,3,2.4000000000000004,At Risk
262,787.0,1.0,2553.8819999999996,1,1,2,1.4000000000000001,Churned
263,59.0,4.0,3901.3199999999997,4,3,3,3.2,Potential
264,19.0,6.0,6544.385,5,5,4,4.6,Champions
265,18.0,3.0,3810.4890000000005,5,2,3,3.0,Potential
266,187.0,4.0,3295.7129999999997,3,3,3,3.0000000000000004,Potential
267,78.0,4.0,1233.6855,4,3,1,2.4,At Risk
268,869.0,1.0,329.441,1,1,1,1.0,Churned
269,84.0,5.0,4094.85,4,4,3,3.6000000000000005,Loyal
270,412.0,4.0,5615.989,1,3,4,3.0,Potential
271,180.0,2.0,1532.787,3,1,1,1.4,Churned
272,554.0,4.0,39584.1745,1,3,5,3.4000000000000004,Loyal
273,353.0,3.0,3124.6575,2,2,3,2.4000000000000004,At Risk
274,7.0,5.0,3961.691,5,4,3,3.8000000000000003,Loyal
275,228.0,3.0,5861.5585,2,2,4,2.8000000000000003,Potential
276,13.0,4.0,11516.446,5,3,5,4.2,Champions
277,207.0,6.0,9970.3585,3,5,5,4.6,Champions
278,194.0,4.0,2296.5604999999996,3,3,2,2.6000000000000005,Potential
279,184.0,4.0,5026.951999999999,3,3,4,3.4000000000000004,Loyal
280,461.0,1.0,1018.773,1,1,1,1.0,Churned
281,20.0,3.0,6558.5,5,2,4,3.4000000000000004,Loyal
282,46.0,6.0,12729.8675,5,5,5,5.0,Champions
283,100.0,2.0,1026.328,4,1,1,1.6,Churned
284,3.0,4.0,6570.412,5,3,4,3.8000000000000003,Loyal
285,294.0,6.0,9186.351,2,5,5,4.4,Champions
286,85.0,8.0,8432.142,4,5,5,4.8,Champions
287,369.0,3.0,6061.282,2,2,4,2.8000000000000003,Potential
288,48.0,3.0,2843.438,4,2,2,2.4000000000000004,At Risk
289,829.0,3.0,6252.6269999999995,1,2,4,2.6,Potential
290,45.0,2.0,10354.628,5,1,5,3.4,Loyal
291,1.0,2.0,3327.126,5,1,3,2.6,Potential
292,160.0,3.0,4441.182000000001,3,2,4,3.0,Potential
293,39.0,7.0,8311.815,5,5,5,5.0,Champions
294,172.0,2.0,3387.7239999999997,3,1,3,2.2,At Risk
295,599.0,6.0,7402.7285,1,5,5,4.2,Champions
296,374.0,5.0,6820.6615,2,4,5,4.0,Loyal
297,766.0,1.0,91.13,1,1,1,1.0,Churned
298,337.0,2.0,38003.024,2,1,5,2.8,Potential
299,70.0,2.0,3899.887,4,1,3,2.4000000000000004,At Risk
300,4.0,4.0,2255.634,5,3,2,3.0,Potential
301,402.0,1.0,355.11400000000003,1,1,1,1.0,Churned
302,222.0,3.0,1782.9450000000002,2,2,2,2.0,At Risk
303,447.0,2.0,12373.13,1,1,5,2.6,Potential
304,161.0,3.0,2599.39,3,2,2,2.2,At Risk
305,144.0,4.0,2330.5425,3,3,2,2.6000000000000005,Potential
306,299.0,5.0,8154.719,2,4,5,4.0,Loyal
307,182.0,5.0,2498.082,3,4,2,3.0,Potential
308,557.0,3.0,5291.279500000001,1,2,4,2.6,Potential
309,4.0,6.0,8828.281500000001,5,5,5,5.0,Champions
310,34.0,3.0,2600.427,5,2,2,2.6,Potential
311,162.0,3.0,7264.47,3,2,5,3.4000000000000004,Loyal
312,1073.0,1.0,1292.831,1,1,1,1.0,Churned
313,56.0,4.0,4285.407,4,3,3,3.2,Potential
314,216.0,3.0,3233.88,2,2,3,2.4000000000000004,At Risk
315,220.0,3.0,9982.3995,2,2,5,3.2,Potential
316,44.0,4.0,4924.3,5,3,4,3.8000000000000003,Loyal
317,129.0,2.0,589.85,3,1,1,1.4,Churned
318,233.0,4.0,8542.9345,2,3,5,3.6,Loyal
319,326.0,2.0,3094.89,2,1,3,2.0,At Risk
320,719.0,3.0,2482.1415,1,2,2,1.8,At Risk
321,665.0,3.0,11705.619,1,2,5,3.0,Potential
322,1095.0,0.0,0.0,1,1,1,1.0,Churned
323,457.0,3.0,3037.758,1,2,3,2.2,At Risk
324,119.0,5.0,2357.407,3,4,2,3.0,Potential
325,3.0,10.0,8290.137,5,5,5,5.0,Champions
326,230.0,3.0,2881.052,2,2,2,2.0,At Risk
327,6.0,6.0,17898.333,5,5,5,5.0,Champions
328,128.0,5.0,7950.0565,3,4,5,4.2,Champions
329,24.0,6.0,12922.817500000001,5,5,5,5.0,Champions
330,130.0,4.0,7045.177,3,3,5,3.8000000000000003,Loyal
331,1095.0,0.0,0.0,1,1,1,1.0,Churned
332,273.0,3.0,2406.346,2,2,2,2.0,At Risk
333,1.0,6.0,5369.916,5,5,4,4.6,Champions
334,32.0,4.0,4845.2654999999995,5,3,4,3.8000000000000003,Loyal
335,21.0,5.0,2583.6315,5,4,2,3.4000000000000004,Loyal
336,190.0,4.0,4232.739,3,3,3,3.0000000000000004,Potential
337,29.0,1.0,1878.6599999999999,5,1,2,2.2,At Risk
338,39.0,3.0,4519.5395,5,2,4,3.4000000000000004,Loyal
339,236.0,5.0,4110.83,2,4,3,3.2,Potential
340,106.0,2.0,1780.503,4,1,2,2.0,At Risk
341,2.0,6.0,5919.356,5,5,4,4.6,Champions
342,185.0,4.0,2223.5,3,3,2,2.6000000000000005,Potential
343,680.0,1.0,1719.498,1,1,2,1.4000000000000001,Churned
344,26.0,4.0,2696.16,5,3,2,3.0,Potential
345,259.0,7.0,6374.5505,2,5,4,4.0,Loyal
346,160.0,6.0,7224.8769999999995,3,5,5,4.6,Champions
347,317.0,6.0,7284.3814999999995,2,5,5,4.4,Champions
348,172.0,4.0,3119.7985,3,3,3,3.0000000000000004,Potential
349,108.0,5.0,6107.416499999999,4,4,4,4.0,Loyal
350,18.0,7.0,18883.021,5,5,5,5.0,Champions
351,40.0,5.0,7053.49,5,4,5,4.6,Champions
352,52.0,2.0,3112.122,4,1,3,2.4000000000000004,At Risk
353,115.0,5.0,4789.241,3,4,4,3.8000000000000003,Loyal
354,81.0,10.0,12099.181,4,5,5,4.8,Champions
355,39.0,5.0,8165.153,5,4,5,4.6,Champions
356,18.0,4.0,3116.311,5,3,3,3.4000000000000004,Loyal
357,170.0,6.0,4721.955,3,5,4,4.2,Champions
358,62.0,3.0,5505.831,4,2,4,3.2,Potential
359,287.0,1.0,1051.54,2,1,1,1.2000000000000002,Churned
360,76.0,5.0,6833.726,4,4,5,4.4,Champions
361,127.0,3.0,3297.6405,3,2,3,2.6000000000000005,Potential
362,296.0,7.0,9437.319,2,5,5,4.4,Champions
363,371.0,4.0,3934.784,2,3,3,2.8000000000000003,Potential
364,520.0,3.0,4391.6115,1,2,4,2.6,Potential
365,32.0,5.0,2947.8894999999998,5,4,2,3.4000000000000004,Loyal
366,339.0,2.0,1858.1909999999998,2,1,2,1.6,Churned
367,765.0,2.0,1127.706,1,1,1,1.0,Churned
368,428.0,6.0,3656.994,1,5,3,3.4000000000000004,Loyal
369,1095.0,0.0,0.0,1,1,1,1.0,Churned
370,63.0,8.0,5476.9475,4,5,4,4.4,Champions
371,386.0,1.0,7041.4,2,1,5,2.8,Potential
372,321.0,1.0,2168.901,2,1,2,1.6,Churned
373,70.0,5.0,5246.9,4,4,4,4.0,Loyal
374,580.0,2.0,2478.568,1,1,2,1.4000000000000001,Churned
375,161.0,5.0,4357.2915,3,4,4,3.8000000000000003,Loyal
376,982.0,1.0,1512.03,1,1,1,1.0,Churned
377,475.0,1.0,2402.008,1,1,2,1.4000000000000001,Churned
378,9.0,1.0,1851.75,5,1,2,2.2,At Risk
379,21.0,3.0,13697.9375,5,2,5,3.8,Loyal
380,518.0,1.0,599.32,1,1,1,1.0,Churned
381,711.0,3.0,3183.31,1,2,3,2.2,At Risk
382,247.0,4.0,4301.819,2,3,3,2.8000000000000003,Potential
383,18.0,5.0,2555.665,5,4,2,3.4000000000000004,Loyal
384,22.0,6.0,9312.0295,5,5,5,5.0,Champions
385,75.0,5.0,2951.6719999999996,4,4,2,3.2,Potential
386,946.0,1.0,510.705,1,1,1,1.0,Churned
387,57.0,6.0,5861.29,4,5,4,4.4,Champions
388,810.0,3.0,1022.7855,1,2,1,1.4,Churned
389,68.0,5.0,3452.677,4,4,3,3.6000000000000005,Loyal
390,475.0,4.0,4172.1615,1,3,3,2.6000000000000005,Potential
391,54.0,3.0,2557.2960000000003,4,2,2,2.4000000000000004,At Risk
392,789.0,2.0,4296.8615,1,1,3,1.8000000000000003,At Risk
393,482.0,3.0,1591.314,1,2,1,1.4,Churned
394,382.0,1.0,1948.78,2,1,2,1.6,Churned
395,269.0,1.0,580.3544999999999,2,1,1,1.2000000000000002,Churned
396,267.0,7.0,5102.725,2,5,4,4.0,Loyal
397,112.0,2.0,3269.7,3,1,3,2.2,At Risk
398,130.0,4.0,3278.3219999999997,3,3,3,3.0000000000000004,Potential
399,85.0,3.0,4688.4015,4,2,4,3.2,Potential
400,230.0,5.0,5474.891,2,4,4,3.6,Loyal
401,452.0,2.0,1577.2,1,1,1,1.0,Churned
402,161.0,3.0,3249.322,3,2,3,2.6000000000000005,Potential
403,49.0,5.0,7085.9095,4,4,5,4.4,Champions
404,114.0,3.0,2910.5099999999998,3,2,2,2.2,At Risk
405,53.0,8.0,8685.718,4,5,5,4.8,Champions
406,325.0,4.0,12040.881,2,3,5,3.6,Loyal
407,81.0,4.0,4551.831,4,3,4,3.6,Loyal
408,86.0,6.0,7884.1455,4,5,5,4.8,Champions
409,66.0,6.0,4370.2595,4,5,4,4.4,Champions
410,0.0,2.0,37948.8,5,1,5,3.4,Loyal
411,82.0,5.0,3034.2605,4,4,3,3.6000000000000005,Loyal
412,43.0,6.0,6869.5705,5,5,5,5.0,Champions
413,153.0,6.0,5240.6385,3,5,4,4.2,Champions
414,36.0,4.0,11846.195,5,3,5,4.2,Champions
415,85.0,1.0,486.72,4,1,1,1.6,Churned
416,150.0,6.0,5476.2715,3,5,4,4.2,Champions
417,74.0,4.0,3315.232,4,3,3,3.2,Potential
418,1095.0,0.0,0.0,1,1,1,1.0,Churned
419,107.0,1.0,1426.6060000000002,4,1,1,1.6,Churned
420,38.0,4.0,5150.894,5,3,4,3.8000000000000003,Loyal
421,227.0,5.0,3556.7715,2,4,3,3.2,Potential
422,365.0,2.0,1667.239,2,1,2,1.6,Churned
423,784.0,2.0,39698.47,1,1,5,2.6,Potential
424,744.0,2.0,2161.875,1,1,2,1.4000000000000001,Churned
425,74.0,4.0,4331.2065,4,3,4,3.6,Loyal
426,73.0,5.0,6462.8175,4,4,4,4.0,Loyal
427,46.0,4.0,2826.373,5,3,2,3.0,Potential
428,428.0,1.0,540.513,1,1,1,1.0,Churned
429,331.0,3.0,3631.12,2,2,3,2.4000000000000004,At Risk
430,291.0,4.0,7025.975,2,3,5,3.6,Loyal
431,232.0,2.0,2928.487,2,1,2,1.6,Churned
432,21.0,8.0,4924.62,5,5,4,4.6,Champions
433,538.0,1.0,848.74,1,1,1,1.0,Churned
434,153.0,2.0,993.8665000000001,3,1,1,1.4,Churned
435,1095.0,0.0,0.0,1,1,1,1.0,Churned
436,180.0,3.0,4651.7615000000005,3,2,4,3.0,Potential
437,155.0,4.0,3704.9015,3,3,3,3.0000000000000004,Potential
438,83.0,3.0,1445.5865000000001,4,2,1,2.0,At Risk
439,240.0,4.0,16618.3115,2,3,5,3.6,Loyal
