SKU,item_name,dept,list_price_usd,supplier_cost,in_stock_units
85,Event Furniture,Home & Kitchen,528.7643611140095,214.98,39
229,Thus Skincare,Beauty & Health,691.5817408645145,325.2,383
248,Generation Haircare,Beauty & Health,77.34200073942078,55.58,137
142,Card Footwear,Apparel,741.6584388018938,352.01,126
19,Improve Smartphone,Electronics,750.2348585350576,269.65,23
267,Born Fiction,Books & Media,251.73942900308703,110.91,371
281,Citizen Non-Fiction,Books & Media,152.74051616118035,90.63,59
123,Anything Footwear,Apparel,859.7605111129426,320.39,384
62,Key Furniture,Home & Kitchen,251.0214299943315,95.18,411
82,Rich Furniture,Home & Kitchen,246.77164247964456,117.43,97
73,Travel Appliance,Home & Kitchen,349.90852466336054,176.21,485
232,Partner Personal Care,Beauty & Health,73.96191404153438,39.91,59
29,Pressure Accessorie,Electronics,103.43287935896893,57.5,251
102,Three Women,Apparel,411.0003644043425,181.63,325
100,Sea Appliance,Home & Kitchen,295.9245530525444,152.25,350
161,Between Fitnes,Sports & Outdoors,69.17882329602232,26.32,329
60,Coach Furniture,Home & Kitchen,154.78912235542325,113.95,375
219,Example Supplement,Beauty & Health,212.35217180601285,100.68,283
177,Hour Camping,Sports & Outdoors,157.92039841042083,86.79,394
200,White Fitnes,Sports & Outdoors,536.4790788867238,381.57,55
207,Impact Haircare,Beauty & Health,518.3505357718425,193.04,9
75,Wonder Decor,Home & Kitchen,296.4010966670722,192.98,38
156,Occur Camping,Sports & Outdoors,366.27677137880187,276.55,266
280,Start Fiction,Books & Media,127.77174788694583,43.74,336
251,College Fiction,Books & Media,438.56620377663035,332.5,34
268,Machine Media,Books & Media,24.40864114838546,11.06,214
130,Fly Kid,Apparel,458.64843614537045,253.72,154
275,Culture Children,Books & Media,84.89791709102369,41.15,221
234,House Skincare,Beauty & Health,496.8041706457723,356.89,422
271,Create Children,Books & Media,791.2298781171068,308.09,283
180,Grow Team Sport,Sports & Outdoors,867.7334169108468,385.76,454
56,Heavy Appliance,Home & Kitchen,184.5346293477425,83.65,120
272,Pass Children,Books & Media,5.65764802339789,3.58,422
20,Arm Accessorie,Electronics,545.4342392825207,335.04,182
89,Prepare Cookware,Home & Kitchen,256.97628023034093,159.34,78
217,Measure Skincare,Beauty & Health,486.45974180922354,238.38,90
127,Research Footwear,Apparel,115.42295145750036,48.35,6
222,Car Supplement,Beauty & Health,274.02241992413013,137.96,3
143,Writer Women,Apparel,422.0365073529193,163.91,253
186,Along Fitnes,Sports & Outdoors,286.61271639621043,213.7,364
9,Right Laptop,Electronics,67.34849674358524,26.82,5
108,Word Men,Apparel,386.5048031085589,142.17,49
128,Pretty Kid,Apparel,702.350455696092,247.87,296
115,Quickly Footwear,Apparel,261.5945387221016,140.73,80
209,Leg Skincare,Beauty & Health,816.3223286573551,323.49,140
235,Training Personal Care,Beauty & Health,370.7166499339401,218.16,477
290,Administration Children,Books & Media,913.953030157746,374.06,97
265,Create Non-Fiction,Books & Media,835.8181286920219,394.64,321
187,Artist Team Sport,Sports & Outdoors,126.19046947792883,97.88,227
131,Spring Kid,Apparel,792.9797955883354,323.06,128
95,They Appliance,Home & Kitchen,735.5585468647998,355.85,154
211,Everyone Skincare,Beauty & Health,930.3826516057625,390.53,235
41,Rest Smartphone,Electronics,389.33895657968543,158.48,399
181,Choice Team Sport,Sports & Outdoors,37.2778558997043,20.67,38
44,Walk Camera,Electronics,6.958194713031108,4.3,196
204,Artist Supplement,Beauty & Health,579.5108485714196,316.23,181
91,Almost Decor,Home & Kitchen,366.32092585602345,186.57,268
255,Activity Non-Fiction,Books & Media,254.32176372552172,157.52,198
256,Baby Non-Fiction,Books & Media,528.6649475061615,197.5,114
148,Answer Women,Apparel,305.33942446605425,118.69,269
285,Foot Children,Books & Media,694.8886446208359,317.07,124
247,Good Haircare,Beauty & Health,720.4388418401803,326.34,359
31,Wide Laptop,Electronics,970.2493794774009,373.86,430
226,Recognize Skincare,Beauty & Health,218.0682578959709,146.93,221
165,Up Cycling,Sports & Outdoors,611.6955610184156,375.16,271
260,Form Media,Books & Media,620.0114628451765,308.31,185
146,Difficult Women,Apparel,463.1309501017856,217.53,128
53,Student Decor,Home & Kitchen,198.37465221037894,115.82,369
179,Our Camping,Sports & Outdoors,487.1382293959962,175.67,50
253,Happen Fiction,Books & Media,611.3149295885618,347.91,232
64,Task Appliance,Home & Kitchen,29.661220789760005,12.14,159
66,Wide Cookware,Home & Kitchen,455.470739984241,201.12,170
178,Rich Cycling,Sports & Outdoors,567.6808337961094,213.76,74
80,Success Furniture,Home & Kitchen,164.4073827994286,93.95,317
159,Positive Camping,Sports & Outdoors,856.9355005765342,318.32,71
46,Reflect Laptop,Electronics,395.9490443178862,205.91,415
42,Cost Camera,Electronics,328.95541226213817,216.35,180
117,White Men,Apparel,561.7868954380748,267.53,314
196,Information Cycling,Sports & Outdoors,544.18926264758,269.71,30
105,Physical Footwear,Apparel,393.6694369640226,188.14,4
147,Later Women,Apparel,518.5255402452701,396.76,388
126,Field Men,Apparel,245.6379186986215,89.98,178
74,Serve Appliance,Home & Kitchen,171.7813075535283,104.21,434
291,Since Non-Fiction,Books & Media,19.91295960666735,13.68,281
223,Sense Supplement,Beauty & Health,58.8654264605062,32.82,492
35,Wide Camera,Electronics,425.77044060633455,268.86,358
249,Across Skincare,Beauty & Health,700.1897679804321,293.31,129
54,We Decor,Home & Kitchen,680.0610502538397,371.36,466
158,Produce Cycling,Sports & Outdoors,280.5854828015209,119.58,331
221,Response Haircare,Beauty & Health,738.521701400346,279.27,292
5,Yeah Smartphone,Electronics,524.449133438593,180.1,161
154,Attack Cycling,Sports & Outdoors,116.37239739069004,58.03,334
286,Give Non-Fiction,Books & Media,47.44226211581361,20.54,157
257,Minute Children,Books & Media,8.447087065071797,4.21,434
174,Social Cycling,Sports & Outdoors,871.839738864552,363.2,37
193,Add Camping,Sports & Outdoors,361.5462870605007,219.39,106
172,Half Team Sport,Sports & Outdoors,105.54510841405353,40.01,91
297,Want Media,Books & Media,90.7301362239451,64.11,423
144,Almost Women,Apparel,306.7918371628602,136.44,183
67,Apply Furniture,Home & Kitchen,362.94227289600695,151.07,447
76,Cover Furniture,Home & Kitchen,982.7733586489064,338.82,21
274,Product Children,Books & Media,522.1918350771778,235.72,27
77,What Furniture,Home & Kitchen,105.50216919566687,38.72,88
292,Store Fiction,Books & Media,433.50115033697267,267.92,196
269,Note Non-Fiction,Books & Media,609.6404696459401,359.81,404
23,Cost Headphone,Electronics,231.54836356900927,174.8,39
188,Involve Fitnes,Sports & Outdoors,540.8990538396591,321.55,129
132,Set Men,Apparel,298.52907863413094,175.25,306
37,Executive Laptop,Electronics,601.2149910163138,285.91,100
168,Wait Camping,Sports & Outdoors,672.1462586144397,325.57,140
210,Me Haircare,Beauty & Health,185.67918242930813,78.49,234
145,Unit Men,Apparel,61.252017763671056,42.96,435
224,Voice Skincare,Beauty & Health,23.10873989596997,13.38,49
205,Back Haircare,Beauty & Health,363.9341342220557,219.49,401
276,Recently Non-Fiction,Books & Media,353.58969285791215,131.91,370
79,Hand Furniture,Home & Kitchen,318.46620831987434,119.38,492
182,Answer Fitnes,Sports & Outdoors,492.05787548011494,191.38,457
92,Left Furniture,Home & Kitchen,152.0647821174712,67.35,449
133,Actually Kid,Apparel,492.3708139079612,201.05,284
81,Real Furniture,Home & Kitchen,816.5676178901372,349.11,401
40,Because Laptop,Electronics,170.74616986593605,75.68,309
135,Road Women,Apparel,562.8520295500844,338.26,106
208,Series Skincare,Beauty & Health,258.1701289256751,138.05,61
153,Feel Cycling,Sports & Outdoors,535.4187334190595,238.57,182
190,Over Cycling,Sports & Outdoors,702.2435914252166,308.25,216
18,Rest Camera,Electronics,36.7172909851647,20.03,423
15,Sea Headphone,Electronics,535.3471062451271,192.64,50
157,First Camping,Sports & Outdoors,697.4723824949853,278.88,452
2,Maintain Laptop,Electronics,794.8056489665487,351.48,16
252,Property Non-Fiction,Books & Media,284.53816276634205,180.49,443
22,Scientist Smartphone,Electronics,215.65657565302132,98.81,461
225,Discover Skincare,Beauty & Health,960.5835774192838,348.19,129
69,Front Decor,Home & Kitchen,280.4666180714609,163.83,363
11,Change Smartphone,Electronics,218.16398756169224,129.85,46
239,Increase Haircare,Beauty & Health,513.2767911914649,395.89,386
258,Difference Fiction,Books & Media,623.0426170675411,300.08,413
55,Others Cookware,Home & Kitchen,400.6779969734537,222.82,207
175,Either Fitnes,Sports & Outdoors,623.7110185861208,253.72,41
284,Do Fiction,Books & Media,231.57130743870235,138.3,303
299,Know Non-Fiction,Books & Media,760.083079620278,274.72,85
228,Over Skincare,Beauty & Health,163.48990336524056,94.91,467
99,Level Decor,Home & Kitchen,488.0001470836773,337.25,213
293,Almost Non-Fiction,Books & Media,718.9819433090704,295.78,305
24,Concern Headphone,Electronics,731.2565638670629,282.68,55
199,Yes Fitnes,Sports & Outdoors,53.311932537503914,33.26,62
152,Soon Camping,Sports & Outdoors,894.9195914362084,359.13,160
1,Black Camera,Electronics,440.6266121051296,224.24,270
57,Try Cookware,Home & Kitchen,517.499242355929,229.78,497
246,Close Personal Care,Beauty & Health,586.1040411956446,237.52,339
47,Central Camera,Electronics,520.2695277995394,252.36,348
134,Democrat Kid,Apparel,565.7704621276284,321.26,408
50,Wear Headphone,Electronics,247.64363303731562,113.11,278
220,Run Skincare,Beauty & Health,471.1522630385807,343.89,207
3,Start Accessorie,Electronics,1009.6660840308892,367.95,91
264,Include Non-Fiction,Books & Media,16.132979784023618,9.81,91
26,Agent Laptop,Electronics,268.03345970858004,123.49,364
87,Property Furniture,Home & Kitchen,554.9187802522264,315.4,454
119,Reflect Kid,Apparel,529.6271337529269,265.26,268
93,Fear Appliance,Home & Kitchen,98.58708895666076,56.95,398
195,After Fitnes,Sports & Outdoors,130.56763990631103,54.56,340
233,Say Haircare,Beauty & Health,85.11124672630197,30.29,106
141,Happen Men,Apparel,248.8757205785161,135.51,203
113,Represent Kid,Apparel,56.01481192242025,26.78,357
78,Unit Cookware,Home & Kitchen,224.36837556632796,102.41,439
84,Per Cookware,Home & Kitchen,44.592836597019016,29.75,439
238,Able Haircare,Beauty & Health,195.33138217899545,70.24,35
48,Court Camera,Electronics,229.26053525469325,156.59,186
106,Oil Footwear,Apparel,148.5462138670252,54.77,473
164,Great Team Sport,Sports & Outdoors,467.66890380716933,165.72,443
283,Strategy Children,Books & Media,694.5366441600112,258.28,194
52,Still Cookware,Home & Kitchen,12.745015582739367,6.91,248
214,Safe Skincare,Beauty & Health,307.43213467492745,229.66,496
261,Especially Fiction,Books & Media,430.36779093676716,235.83,54
240,Military Supplement,Beauty & Health,559.5904549138015,231.95,223
231,Food Personal Care,Beauty & Health,403.0149052256267,301.66,44
34,Television Laptop,Electronics,402.14689590776015,208.52,335
163,Ready Cycling,Sports & Outdoors,603.0760212679575,276.03,408
114,History Kid,Apparel,23.52326971226557,12.58,220
243,Son Personal Care,Beauty & Health,743.2310142920069,389.57,467
104,Major Men,Apparel,960.380124442678,360.5,498
83,Rich Furniture,Home & Kitchen,247.62876335097278,96.79,422
30,Hospital Laptop,Electronics,497.31639655438255,214.5,118
244,Thus Supplement,Beauty & Health,263.59553596437144,101.87,58
139,About Men,Apparel,859.9126807242593,310.66,249
197,Own Camping,Sports & Outdoors,552.9192533785797,292.48,74
120,Society Kid,Apparel,151.6725412917945,60.15,220
166,Power Fitnes,Sports & Outdoors,289.63890512964326,147.59,212
149,Move Kid,Apparel,384.0998255335227,267.43,447
289,Available Non-Fiction,Books & Media,656.2244440909111,370.15,28
227,Daughter Supplement,Beauty & Health,195.60506438480573,129.37,301
112,Performance Women,Apparel,10.917228097911892,7.39,378
241,Low Personal Care,Beauty & Health,314.02009751372174,220.38,398
28,Series Accessorie,Electronics,745.7388174284612,279.01,402
192,Participant Camping,Sports & Outdoors,698.5602671294922,370.47,345
198,Later Cycling,Sports & Outdoors,265.6721168053476,125.87,134
250,Discover Haircare,Beauty & Health,8289.76231790326,112.79,245
236,Down Haircare,Beauty & Health,57.25206353686829,35.56,218
137,Particular Kid,Apparel,314.86178333165236,166.82,259
25,Protect Headphone,Electronics,284.6366520186707,149.7,132
136,Watch Footwear,Apparel,963.6329176715441,362.35,458
8,Plant Smartphone,Electronics,289.99422677459245,122.24,489
7,Beyond Accessorie,Electronics,359.0951031936047,167.06,104
138,By Kid,Apparel,55.886211389454786,35.21,457
110,Section Footwear,Apparel,54.25467171996266,19.09,73
288,Beyond Media,Books & Media,540.4669826600391,355.32,161
9000,Small Prototype,Books & Media,38.48,34.07,16
9001,Standard Prototype,Beauty & Health,97.52,140.67,50
9002,Executive Prototype,Apparel,47.71,103.54,31
9003,Task Prototype,Sports & Outdoors,121.02,94.13,30
9004,Growth Prototype,Beauty & Health,75.01,68.96,8
9005,Suddenly Prototype,Home & Kitchen,174.9,72.38,46
9006,Individual Prototype,Apparel,288.34,131.09,11
9007,Leader Prototype,Sports & Outdoors,107.98,61.73,24
9008,Sign Prototype,Electronics,274.14,91.39,4
9009,Trial Prototype,Electronics,141.54,132.01,49
9010,Attention Prototype,Beauty & Health,157.72,14.75,35
9011,Boy Prototype,Sports & Outdoors,38.5,35.74,33
